location,date,total_cases,total_deaths
Brazil,2020-01-05,0.0,0.0
Brazil,2020-01-06,0.0,0.0
Brazil,2020-01-07,0.0,0.0
Brazil,2020-01-08,0.0,0.0
Brazil,2020-01-09,0.0,0.0
Brazil,2020-01-10,0.0,0.0
Brazil,2020-01-11,0.0,0.0
Brazil,2020-01-12,0.0,0.0
Brazil,2020-01-13,0.0,0.0
Brazil,2020-01-14,0.0,0.0
Brazil,2020-01-15,0.0,0.0
Brazil,2020-01-16,0.0,0.0
Brazil,2020-01-17,0.0,0.0
Brazil,2020-01-18,0.0,0.0
Brazil,2020-01-19,0.0,0.0
Brazil,2020-01-20,0.0,0.0
Brazil,2020-01-21,0.0,0.0
Brazil,2020-01-22,0.0,0.0
Brazil,2020-01-23,0.0,0.0
Brazil,2020-01-24,0.0,0.0
Brazil,2020-01-25,0.0,0.0
Brazil,2020-01-26,0.0,0.0
Brazil,2020-01-27,0.0,0.0
Brazil,2020-01-28,0.0,0.0
Brazil,2020-01-29,0.0,0.0
Brazil,2020-01-30,0.0,0.0
Brazil,2020-01-31,0.0,0.0
Brazil,2020-02-01,0.0,0.0
Brazil,2020-02-02,0.0,0.0
Brazil,2020-02-03,0.0,0.0
Brazil,2020-02-04,0.0,0.0
Brazil,2020-02-05,0.0,0.0
Brazil,2020-02-06,0.0,0.0
Brazil,2020-02-07,0.0,0.0
Brazil,2020-02-08,0.0,0.0
Brazil,2020-02-09,0.0,0.0
Brazil,2020-02-10,0.0,0.0
Brazil,2020-02-11,0.0,0.0
Brazil,2020-02-12,0.0,0.0
Brazil,2020-02-13,0.0,0.0
Brazil,2020-02-14,0.0,0.0
Brazil,2020-02-15,0.0,0.0
Brazil,2020-02-16,0.0,0.0
Brazil,2020-02-17,0.0,0.0
Brazil,2020-02-18,0.0,0.0
Brazil,2020-02-19,0.0,0.0
Brazil,2020-02-20,0.0,0.0
Brazil,2020-02-21,0.0,0.0
Brazil,2020-02-22,0.0,0.0
Brazil,2020-02-23,0.0,0.0
Brazil,2020-02-24,0.0,0.0
Brazil,2020-02-25,0.0,0.0
Brazil,2020-02-26,0.0,0.0
Brazil,2020-02-27,0.0,0.0
Brazil,2020-02-28,0.0,0.0
Brazil,2020-02-29,0.0,0.0
Brazil,2020-03-01,1.0,0.0
Brazil,2020-03-02,1.0,0.0
Brazil,2020-03-03,1.0,0.0
Brazil,2020-03-04,1.0,0.0
Brazil,2020-03-05,1.0,0.0
Brazil,2020-03-06,1.0,0.0
Brazil,2020-03-07,1.0,0.0
Brazil,2020-03-08,13.0,0.0
Brazil,2020-03-09,13.0,0.0
Brazil,2020-03-10,13.0,0.0
Brazil,2020-03-11,13.0,0.0
Brazil,2020-03-12,13.0,0.0
Brazil,2020-03-13,13.0,0.0
Brazil,2020-03-14,13.0,0.0
Brazil,2020-03-15,84.0,0.0
Brazil,2020-03-16,84.0,0.0
Brazil,2020-03-17,84.0,0.0
Brazil,2020-03-18,84.0,0.0
Brazil,2020-03-19,84.0,0.0
Brazil,2020-03-20,84.0,0.0
Brazil,2020-03-21,84.0,0.0
Brazil,2020-03-22,904.0,11.0
Brazil,2020-03-23,904.0,11.0
Brazil,2020-03-24,904.0,11.0
Brazil,2020-03-25,904.0,11.0
Brazil,2020-03-26,904.0,11.0
Brazil,2020-03-27,904.0,11.0
Brazil,2020-03-28,904.0,11.0
Brazil,2020-03-29,3417.0,92.0
Brazil,2020-03-30,3417.0,92.0
Brazil,2020-03-31,3417.0,92.0
Brazil,2020-04-01,3417.0,92.0
Brazil,2020-04-02,3417.0,92.0
Brazil,2020-04-03,3417.0,92.0
Brazil,2020-04-04,3417.0,92.0
Brazil,2020-04-05,9056.0,359.0
Brazil,2020-04-06,9056.0,359.0
Brazil,2020-04-07,9056.0,359.0
Brazil,2020-04-08,9056.0,359.0
Brazil,2020-04-09,9056.0,359.0
Brazil,2020-04-10,9056.0,359.0
Brazil,2020-04-11,9056.0,359.0
Brazil,2020-04-12,19638.0,1056.0
Brazil,2020-04-13,19638.0,1056.0
Brazil,2020-04-14,19638.0,1056.0
